sample_number,sample_id,abbr_id,sample_location,location_group,acbr,lat,lon,wgs84_elev_from_pgc,orthometric_elev_from_pgc,elev_bin,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_dem,ph_mq,ph_kcl,ph_cacl2,ec_us_cm,cec_meq_100g,d15n_air_permil,d13c_vpdb_permil,wt_percent_n,wt_percent_c,c_n_ratio,hr_1_mg_l_f,hr_1_mg_l_cl,hr_1_mg_l_no3,hr_1_mg_l_po4,hr_1_mg_l_so4,hr_24_mg_l_f,hr_24_mg_l_cl,hr_24_mg_l_no3,hr_24_mg_l_po4,hr_24_mg_l_so4,total_mg_l_f,total_mg_l_cl,total_mg_l_no3,total_mg_l_po4,total_mg_l_so4,total_mg_l_ca2,total_mg_l_k,total_mg_l_mg2,total_mg_l_na,total_mg_l_sr2,digest_mg_kg_al3082,digest_mg_kg_as1890,digest_mg_kg_b_2496,digest_mg_kg_ba4554,digest_mg_kg_be3130,digest_mg_kg_ca3158,digest_mg_kg_cd2288,digest_mg_kg_co2286,digest_mg_kg_cr2835,digest_mg_kg_cu3247,digest_mg_kg_fe2599,digest_mg_kg_hg1849,digest_mg_kg_k_7664,digest_mg_kg_li6707,digest_mg_kg_mg2852,digest_mg_kg_mn2576,digest_mg_kg_mo2020,digest_mg_kg_na5895,digest_mg_kg_ni2316,digest_mg_kg_p_1774,digest_mg_kg_pb2203,digest_mg_kg_sb2068,digest_mg_kg_se1960,digest_mg_kg_si2516,digest_mg_kg_sn1899,digest_mg_kg_sr4077,digest_mg_kg_ti3349,digest_mg_kg_tl1908,digest_mg_kg_v_2924,digest_mg_kg_zn2138,lithcode_a,lithcode_b,lithcode_c,lithcode_d,lithcode_g,lithcode_n,lithcode_p,lithcode_s,lithcode_w
11,BPS-1,BPS,Bull Pass,Upper Wright Valley,South Victoria Land,-77.47965,161.74065,817.487,869.143,lower,43,37,-31.26,17.6,223.8,8.323,7.505,7.741,205.1,1.7,-14.96,-27.04,0.01,0.02,3.62,0.13,53.63,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,56.13,0.5,0.5,50,16.86,18.21,9.61,53.78,0.065,8969.12,2.5,0.5,14.94,0.5,5557.77,2.5,5.58,9.36,6.97,8985.06,2.5,841.83,3.19,3008.96,104.08,0.1,762.95,9.06,215.24,1.5,1.5,3,123.31,1.5,15.14,285.66,2,16.14,11.95,0,0,0,0,1,0,0,0,0
12,BPS-18,BPS,Bull Pass,Upper Wright Valley,South Victoria Land,-77.475483,161.780483,608.13,659.804,lower,42.2,37,-31.26,3,251.1,7.567,7.359,7.545,5730.9,2,-17.01,-11.1,0.03,0.04,1.45,3.2,1493.56,164.1,0.25,6126.52,0.13,126.94,20.6,0.25,6563.72,3.33,1620.5,184.7,0.5,12690.24,5950.03,106.59,302.85,794.87,12.507,7966.14,9.76,92.53,12.95,0.5,5469.12,2.5,6.57,13.94,11.95,10896.41,117.73,1118.53,13.35,3385.46,119.32,0.5,1256.97,11.35,276.2,1.5,1.5,3,126.69,1.5,18.43,332.77,2,26.69,17.43,0,0,1,0,0,0,0,0,0
13,BPS-22,BPS,Bull Pass,Upper Wright Valley,South Victoria Land,-77.475483,161.787483,597.941,649.61,lower,42,37,-31.26,2.9,192.9,7.751,7.453,7.715,5831.4,2.4,-17.33,-10.48,0.02,0.06,3.72,3.54,1476.73,113.42,0.25,6993.48,2.96,146.11,6.56,0.25,6528.53,6.5,1622.84,119.98,0.5,13522.01,6037.01,82.37,255.24,998.98,11.449,7729.92,2.5,13.55,12.05,0.5,23975.9,2.5,4.52,10.74,2.71,8136.55,39.86,1014.06,15.36,3292.17,96.08,0.8,1486.95,8.43,220.08,1.5,1.5,3,122.19,1.5,42.87,254.52,2,13.65,13.45,0,0,1,0,0,0,0,0,0
14,BPS-25,BPS,Bull Pass,Upper Wright Valley,South Victoria Land,-77.474317,161.79715,591.933,643.602,lower,41.8,37,-31.26,2.6,354,8.044,7.693,7.814,1620.8,1.4,-13.34,-16.46,0.01,0.04,4.79,2.54,367.18,6.95,0.25,1932.85,2.37,44.88,5.8,0.25,25,4.9,412.05,12.75,0.5,1957.85,239.54,57.68,124.47,653.95,1.285,9883.47,2.5,6.97,13.94,0.5,30039.84,2.5,5.88,10.76,16.73,10368.53,22.21,797.31,17.03,3669.32,120.82,0.1,1683.27,10.76,250.8,1.5,1.5,3,123.9,1.5,52.39,245.72,2,14.64,15.34,0,0,1,0,0,0,0,0,0
15,BPS-5,BPS,Bull Pass,Upper Wright Valley,South Victoria Land,-77.47415,161.797817,592.822,644.492,lower,41.8,37,-31.26,2.6,358.6,7.966,7.853,7.702,3179,1.5,-11.9,-15.34,0.01,0.05,4.1,8.75,1170.7,68.13,0.25,25,0.13,110.91,0.25,0.25,25,8.88,1281.61,68.38,0.5,50,925.1,57.07,82.02,251,2.29,8557.34,2.5,2.11,11.07,0.5,6485.92,2.5,5.03,7.34,21.83,8636.82,13.68,790.54,10.16,2923.54,88.53,0.1,1002.52,10.06,195.57,1.5,1.5,3,111.67,1.5,17.71,231.69,2,18.31,11.37,0,0,1,0,0,0,0,0,0
16,BS-607,BS,Battleship Promontory,Alatna Valley,South Victoria Land,-76.922417,161.081533,1233.68,1287.06,middle,24.4,66,-32.57,5.4,190.6,7.331,5.537,6.653,38.1,5.6,-11.46,-32.61,0.01,0.04,5.03,0.13,2.5,0.25,0.25,25,0.13,2.5,0.25,0.25,25,0.25,5,0.5,0.5,50,12.38,34.25,8.04,18.42,0.023,8273.55,2.5,0.5,10.72,0.5,4476.95,2.5,10.32,14.83,55.11,18857.72,2.5,266.13,24.05,4928.86,208.02,0.4,537.37,15.23,526.65,1.5,1.5,3,118.84,1.5,11.42,151.1,2,50.6,22.75,0,0,0,0,0,0,0,1,0
17,BS-610,BS,Battleship Promontory,Alatna Valley,South Victoria Land,-76.922133,161.077833,1242.54,1295.94,middle,24.5,66,-32.57,2.2,248.7,7.978,5.824,6.795,41.4,5.4,-10.45,-32.5,0.01,0.05,4.22,3.55,127.2,0.25,0.25,25,6.38,57.16,0.25,0.25,25,9.93,184.36,0.5,0.5,50,6.84,145.6,4.8,68.76,0.013,6731.46,2.5,0.5,6.51,0.3,4500,2.5,8.32,10.12,43.69,16182.36,2.5,371.74,29.06,2248.5,151.4,0.7,635.47,9.22,534.07,1.5,4.01,3,191.48,1.5,12.12,210.12,2,51.1,20.14,0,0,0,0,0,0,0,1,0
18,BS-618,BS,Battleship Promontory,Alatna Valley,South Victoria Land,-76.921567,161.080067,1228.77,1282.17,middle,24.5,66,-32.57,4.7,166.4,7.857,5.823,6.802,37.2,5.3,-11.6,-33.84,0.01,0.05,5.4,6.81,63.26,0.25,0.25,25,0.13,38.45,0.25,0.25,25,6.94,101.71,0.5,0.5,50,16.47,64.27,6.75,34.65,0.018,5595.19,2.5,0.5,7.31,0.3,3131.26,2.5,7.01,10.32,27.25,12394.79,2.5,208.82,28.06,2971.94,131.46,0.3,421.44,9.12,324.85,1.5,1.5,3,135.27,1.5,8.32,146.69,2,33.57,13.43,0,0,0,0,0,0,0,1,0
19,CB-CMBjA1,CB,The Cloudmaker,Beardmore Glacier,Transantarctic Mountains,-84.272414,169.320419,2252.7,2290.33,upper,63.1,101.7,-22,26.7,139,6.175,4.603,5.107,48.1,2.9,-2.47,-26.75,0.02,0.07,3.82,0.13,60.3,11.21,0.25,25,4.68,2.5,0.25,0.25,25,4.81,62.8,11.46,0.5,50,72.13,93.44,11.4,48.06,0.145,10962.3,19.15,0.5,25.3,0.3,7135.91,2.5,8.63,24.6,27.38,17817.46,2.5,831.25,9.72,3534.72,236.01,0.2,1241.07,19.25,1129.96,6.25,1.5,3,143.15,1.5,24.8,155.16,2,25.79,26.29,0,0,0,0,1,0,0,0,0
20,CB-iH5,CB,The Cloudmaker,Beardmore Glacier,Transantarctic Mountains,-84.26257,169.274083,1723.91,1761.59,upper,62.8,101.7,-22,15.5,136.2,6.093,4.437,4.488,12.6,2.5,0.07,-21.51,0.01,0.03,2.82,0.13,37.71,3.91,0.25,25,0.13,2.5,0.25,0.25,25,0.25,40.21,4.16,0.5,50,81.78,44.66,11.59,49.4,0.125,13662.67,2.5,0.5,43.31,0.2,7189.62,2.5,10.38,24.55,23.05,18602.79,2.5,2579.84,27.15,5789.42,322.75,0.4,839.22,16.47,504.99,7.39,1.5,3,167.27,1.5,20.66,753.29,2,32.53,40.52,0,0,0,0,1,0,0,0,0
