sample_number,sample_id,abbr_id,sample_location,location_group,acbr,lat,lon
63,HK-1,HK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.760833,172.746167
64,HK-2,HK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.760833,172.7461
65,HK-3,HK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.760817,172.74665
66,HK-4,HK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.760717,172.749983
67,HK-5,HK,Mount Kyffin,Beardmore Glacier,Transantarctic Mountains,-83.760733,172.750683
68,HM-2,HM,Hogg: Masan,Mason Glacier,Transantarctic Mountains,-84.559,175.0087
69,HM-3,HM,Hogg: Masan,Mason Glacier,Transantarctic Mountains,-84.559,175.0086
70,HM-5,HM,Hogg: Masan,Mason Glacier,Transantarctic Mountains,-84.55905,175.0089
71,HM-6,HM,Hogg: Masan,Mason Glacier,Transantarctic Mountains,-84.55917,175.0089
72,HR-1,HR,Gateway Spur,Beardmore Glacier,Transantarctic Mountains,-83.774467,170.789883
73,HR-2,HR,Gateway Spur,Beardmore Glacier,Transantarctic Mountains,-83.774883,170.78935
74,HR-3,HR,Gateway Spur,Beardmore Glacier,Transantarctic Mountains,-83.774067,170.779983
75,HR-4,HR,Gateway Spur,Beardmore Glacier,Transantarctic Mountains,-83.77465,170.7777
76,HR-5,HR,Gateway Spur,Beardmore Glacier,Transantarctic Mountains,-83.774367,170.777417
77,HS-1,HS,Harcourt Spur,Beardmore Glacier,Transantarctic Mountains,-83.8008,172.217233
78,HS-2,HS,Harcourt Spur,Beardmore Glacier,Transantarctic Mountains,-83.800917,172.219133
79,HS-3,HS,Harcourt Spur,Beardmore Glacier,Transantarctic Mountains,-83.800867,172.221833
80,HS-4,HS,Harcourt Spur,Beardmore Glacier,Transantarctic Mountains,-83.8003,172.2103
81,HS-7,HS,Harcourt Spur,Beardmore Glacier,Transantarctic Mountains,-83.805733,172.26245
82,HV1-8,HV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.03005,-177.1751333
83,HV2-5,HV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.0467,-177.4161667
84,HV3-1,HV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.03316667,-177.3292167
85,HV3-9,HV,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.02945,-177.1922833
86,HVY-4A,HVY,Hidden Valley,Hidden Valley,South Victoria Land,-78.14,163.901
87,HVY-5A,HVY,Hidden Valley,Hidden Valley,South Victoria Land,-78.14,163.901
88,HVY-9054A,HVY,Hidden Valley,Hidden Valley,South Victoria Land,-78.15421751,163.950428
89,HVY-9062A,HVY,Hidden Valley,Hidden Valley,South Victoria Land,-78.14311,163.89069
90,HVY-9130A,HVY,Hidden Valley,Hidden Valley,South Victoria Land,-78.16503243,163.9685377
91,KR-1,KR,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.19783333,-177.1021167
92,KR-2,KR,Shackleton Glacier,Shackleton Glacier,Transantarctic Mountains,-85.1963,-177.1043
